"Melyik egyetemi várost emlegetik a diákok ""kommunista fővárosunk""-ként?";Dunaújváros;Debrecen;Győr;Pécs;3
Hány régióra bontható Magyarország?;7;19;10;3;3
Hány megyéje vab Magyarországnak?;19;20;18;16;3
Elsőrendű logikában mit jelent az univerzális kvantor?;Minden;Van olyan;Kivéve;Nincs olyan;3
Elsőrendű logikában mit jelent az egzisztenciális kvantor?;Van olyan;Minden;Kivéve;Nincs olyan;3
Melyik nem kielégíhető tulajdonság az elsőrendű logikában?;Érvénytelen;Kielégíthető;Érvényes;Kielégíthetetlen;3
"Milyen néven indult a ma ""Sziget Fesztivál"" néven ismert rendezvény?";Diáksziget;Pepsi Sziget;Eurowoodstock;Sziget Parádé;3
Milyen fajta kutya Lassie?;Rough Collie;Border Collie;Ausztrál juhászkutya;Sheltie;3
Mi volt Magyarország legjobb helyezése az Euróvíziós Dalfesztiválon 2018-ig?;4.hely;2.hely;3.hely;1.hely;3
Mi volt a végsebessége az 1955-ös Citröen DS 19-nek?;175 km/h;150 km/h;200 km/h;125 km/h;4
Mikor fejezték be Európában a Volkswagen bogár gyártását?;1978 január;1979 március;1977 október;1976 augusztus;4
Melyik állat latin neve a cerambyx cerdo?;Nagy hőscincér;Hegedülő csercincér;Tölgyes-tövisescincér;Havasi cincér ;4
Milyen állat a kék nünüke?;Bogár;Madár;Hal;Gyík;4
Hol találhatók a kerekek egy Lockheed XFV-1-es repülőgépen?;A farkon;A törzs oldalán;A szárnyakon;A pilótafülke körül;4
Ki volt a Fiat C.R. gépek tervezője?;Celestino Rosatelli;F.A. Canders;James R. Bede;Curtiss Rhondenbaum;4
Mennyi hagyma kell a mákostésztába 5 személyre?;Nem kell hagyma;10 dkg;20 dkg;30 dkg;4
Mekkora szárnyfesztávolsága van a banánlepkének?;7-8 cm;5-6 cm;9-10 cm;3-4 cm;4
"Melyik dal nem szerepel a Queen  ""The Works"" című lemezén?";Bohemian Rhapsody;Tear It Up;Radio Gaga;Hammer To Fall;4
Mennyit fogyaszt száz km-en az 1980-as Lamborghini Athon?;15-20 L;25-30 L;10-15 L;20-25 L;4
Melyik évben látta meg a napvilágot a Ferrari 308 GTBi?;1982;1980;1984;1978;5
Melyik dal nem a Paddy and The Rats slágere?;The Boys are Back;Lonely Hearts' Boulvard;Fuck you, I'm Drunk;Celebrate;5
Mi Alecia Beth Moore művészneve?;Pink;Cher;Enya;Baby Alice;5
Melyik együttes száma a Vertigo?;U2;Scorpions;Metallica;Europe;5
Ki nyerte a 2006-os Eurovíziót?;Lordi;Dima Bilan;Six4One;Las Ketchup;5
Hány országgal határos Magyarország?;7;6;8;9;5
Kinek a nevéhez fűzödik a kettős honfoglalás elmélete?;László Gyula;Gyulai László;Kőhalmi Oszkár;Kelemen Nándor;5
Mikor jelent meg a Transformers animációs mozifilm?;1986;1990;1980;1996;5
"Kinek a nevéhez köthető a ""Húrin gyermekei"" című regény?";J. R. R. Tolkien;Tad Williams;Steven Erikson;J. K. Rowling;5
Kinek a regényén alapult a 2006-os Eragon című mozifilm?;Christopher Paolini;Janny Wurts;Tad Williams;Clayton Emery;5
Ki írta a Csongor és Tündét?;Vörösmarty Mihály;Arany János;József Attila;Ady Endre;6
Melyik nem része a lözépbélnek?;Vakbél;Patkóbél;Éhbél;Csípőbél;6
Mely mirigy betegsége a golyva?;Pajzsmirigy;Hasnyálmirigy;Csecsemőmirigy;Tobozmirigy;6
Mi a réz-szulfát köznapi neve?;Kékkő;Vöröskő;Borkő;Vizkő;6
Mi a dialektika?;A vitatkozás művészete;Mértani test;Szószedet;Időzítő szerkezet;6
Mi az abrázió?;A tenger pusztító munkája;A szél pusztító munkája;Vulkanikus pusztító erő;Földcsuszamlás;6
Hol találkozhatunk bálnahátbuckával?;Homoksivatagban;Füves síkságon;A tengerfenék iszapjában;Bombvidéken;6
Mi a dolina?;Mészkőfelszínen kialakult mélyedés;Álló cseppkő;Hegyi ösvény;Erdei tisztás;6
Melyik tudományágban tevékenykedett Paál Árpád?;Botanika;Archeológia;Ornitológia;Geológia;6
Melyik uralkodónk került előbb a trónra?;III. Béla;Bajor Ottó;III. András;IV. Kun László;6
